"","k = 2","k = 5","k = 10"
"1",132617.04662305,139578.449568983,122301.562229252
"2",124393.815734303,99468.5003659822,110163.553088938
"3",119529.130696048,87067.2922992209,89790.6508366005
"4",121111.484151101,133252.830475093,134615.810627221
"5",124383.528652972,110413.97169402,149632.660294283
"6",109711.467395727,149773.112047904,73304.0781795348
"7",112895.801070076,119188.435500118,94144.6248107961
"8",134435.271652759,143549.075967092,137023.248355697
"9",135916.59675793,146977.139416382,98795.9807955898
"10",127927.91897237,111264.553168949,144538.572526074
"11",114368.371350909,81680.4391205172,66616.1336339024
"12",121398.226268078,128366.321281596,180062.145785189
"13",135043.663989161,96267.6482673381,136128.663893305
"14",108306.49977598,124114.098278526,158966.89893135
"15",109965.516115388,147690.835733884,166163.999084738
"16",126054.555432844,106338.339318488,86182.7237995845
"17",123049.647218063,144796.352965437,104030.909356095
"18",127978.512160973,149714.909984505,135804.550970032
"19",128879.096625605,126000.950231039,104997.619673456
"20",121404.667577617,108409.240763838,153305.624071974
"21",127093.610805043,115589.512531989,153059.42097659
"22",109486.34417451,103128.274309986,127871.613279278
"23",120096.382637396,110355.584772893,109765.08075752
"24",109508.998530673,101883.295139268,157898.507139494
"25",140289.048849553,103326.935932574,191477.903613581
"26",113939.594616042,160861.753438185,90633.2345947135
"27",131247.359522236,92154.9314548424,88564.7725405319
"28",125161.851795797,120856.646648902,70538.1676582015
"29",123346.166854989,107988.632029201,151601.492417882
"30",113838.532443768,159126.807160818,141849.686865662
